"year","id","wage","hours","emp","treat","female","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc"
2005,83,750,40,1,0,1,96,34,16,9,1,31,0,0,1,1,4,2,12,7
2005,84,600,45,1,0,1,98,31,12,16,12,33,1,0,0,0,3,4,10,8
2005,85,1081.5,40,1,0,1,115,47,12,14,9,36,1,0,0,1,7,5,12,12
2005,86,750,45,1,0,1,118,38,14,9,7,30,1,0,0,1,3,1,12,10
2005,87,721,40,1,0,0,105,22,12,11,9,30,1,0,0,0,3,2,12,10
2005,88,990,40,1,0,0,108,42,13,13,9,33,1,0,0,0,4,1,16,16
2005,89,813,45,1,0,1,95,38,15,17,10,37,1,0,0,1,1,2,16,16
2005,90,0,0,0,0,1,101,47,12,15,12,37,1,0,0,1,5,2,12,NA
2005,91,621,43,1,0,0,84,24,12,14,10,31,1,0,1,0,4,3,8,6
2005,92,900,40,1,0,0,110,35,12,6,1,28,0,0,0,1,1,NA,13,13
2005,93,449,36,1,0,0,91,20,12,7,2,30,0,0,0,1,1,NA,NA,NA
2005,94,1081.5,40,1,0,1,118,33,16,6,7,29,1,0,0,1,2,1,16,12
2005,95,583,58,1,0,0,113,29,16,9,0,30,1,0,0,1,2,2,12,9
2005,96,0,0,0,0,0,93,31,12,13,1,30,1,0,0,1,5,NA,NA,NA
2005,97,648.75,40,1,0,1,111,38,16,11,4,31,1,0,1,1,4,5,8,5
2005,98,884,40,1,0,0,108,40,17,9,11,35,1,0,0,1,3,2,14,9
2005,99,0,0,0,0,0,100,44,12,15,12,36,1,0,1,1,1,2,NA,NA
2005,100,1009.5,50,1,0,1,108,51,16,9,4,36,1,0,0,1,1,2,12,10
2005,101,414.75,40,1,0,1,67,22,12,11,10,30,1,1,1,0,7,2,8,9
2005,102,817,40,1,0,0,101,38,16,11,9,32,1,0,1,1,1,2,0,5
2005,103,770,40,1,0,0,105,34,17,7,11,30,1,0,0,1,3,1,12,12
2005,104,765,45,1,0,0,94,38,12,17,18,37,1,0,0,0,10,6,4,6
2005,105,370,32,1,0,0,73,31,12,13,2,31,1,1,1,0,9,2,3,4
2005,106,818,47,1,0,0,92,41,12,16,17,38,1,0,0,0,12,1,8,4
2005,107,1010,50,1,0,0,104,37,11,15,7,38,1,0,0,0,6,1,9,6
2005,108,1105,40,1,0,0,93,36,11,17,16,37,0,0,0,1,2,2,8,8
2005,109,693,40,1,0,0,68,38,12,11,19,35,1,0,1,0,5,2,12,8
2005,110,1473,40,1,0,0,110,48,16,15,15,36,1,0,1,0,1,2,12,14
2005,111,635,40,1,0,0,105,29,12,15,15,33,1,0,0,0,2,2,10,NA
2005,112,870,40,1,0,1,92,32,12,8,8,31,1,0,0,0,4,1,12,11
2005,113,800,25,1,0,0,75,37,13,14,1,38,1,0,1,1,0,1,12,10
2005,114,705,45,1,0,1,98,41,18,10,7,31,1,0,1,1,2,2,8,12
2005,115,562.5,40,1,0,1,113,27,12,11,10,29,1,0,0,0,1,NA,12,12
2005,116,1270,40,1,0,0,104,34,16,8,4,31,1,0,1,1,3,4,16,17
2005,117,843,40,1,0,0,102,32,14,8,7,29,1,0,1,0,1,1,16,16
2005,118,340,50,1,0,0,104,41,14,4,1,31,1,0,1,1,5,3,8,18
2005,119,562.5,40,1,0,1,50,28,12,14,5,32,1,1,1,0,10,NA,3,NA
2005,120,702.75,32,1,0,1,113,23,16,12,7,29,1,0,0,1,3,NA,16,12
2005,121,0,0,0,0,1,122,41,14,9,15,35,0,0,0,1,3,2,12,NA
2005,122,358.5,45,1,0,1,90,35,10,19,10,34,1,0,1,1,2,1,9,9
2005,123,1115,40,1,0,0,118,40,16,12,13,33,1,0,0,1,1,1,8,NA
2005,124,750,40,1,0,1,96,40,11,15,15,37,1,0,0,1,5,5,8,9
2005,125,629,60,1,0,0,93,32,12,6,1,30,1,1,1,0,8,3,10,6
2005,126,1424,50,1,0,0,98,41,14,15,4,35,1,0,0,1,1,1,12,12
2005,127,935,44,1,0,0,97,27,12,10,6,29,1,0,0,1,2,2,8,7
2005,128,630,40,1,0,1,105,39,12,19,15,38,1,0,0,0,3,1,12,8
2005,129,680,40,1,0,0,86,35,12,13,9,32,0,0,1,0,6,1,6,7
2005,130,500,40,1,0,0,101,31,14,12,0,32,1,0,0,0,2,2,11,6
2005,131,525,40,1,0,1,120,38,16,10,1,29,1,0,1,1,1,1,12,12
2005,132,926,55,1,0,0,64,22,12,18,0,38,1,0,0,1,4,5,0,2
2005,133,375,50,1,0,1,97,34,11,20,3,37,1,0,0,0,2,1,NA,NA
2005,134,562.5,45,1,0,1,93,45,11,17,2,36,1,0,0,1,1,2,10,5
2005,135,754,40,1,0,0,104,37,13,9,5,32,1,0,0,1,1,2,8,NA
2005,136,1360,45,1,0,0,109,39,15,6,9,36,1,0,0,1,3,3,12,10
2005,137,481.5,35,1,0,1,87,26,13,9,3,30,1,0,1,0,10,10,4,10
2005,138,540.75,40,1,0,1,134,38,13,9,9,30,0,0,1,1,3,3,8,8
2005,139,630,50,1,0,1,96,34,12,18,13,35,1,0,0,1,2,1,12,8
2005,140,1924,50,1,0,0,98,49,17,6,7,38,1,0,0,1,1,1,4,NA
2005,141,0,0,0,0,1,82,32,12,12,0,33,1,0,0,1,2,3,12,9
2005,142,793.5,40,1,0,1,85,50,12,17,8,38,1,0,0,0,4,1,12,NA
2005,143,1009,40,1,0,0,118,37,16,11,12,32,1,0,1,0,0,1,12,10
2005,144,403.5,45,1,0,1,77,22,12,12,10,28,1,1,1,0,9,NA,7,NA
2005,145,281.25,40,1,0,1,89,24,14,9,3,30,1,1,1,1,3,1,13,NA
2005,146,855,48,1,0,1,109,43,12,16,15,35,1,0,0,1,2,2,11,6
2005,147,1250,40,1,0,0,117,45,16,10,7,33,1,0,0,1,1,1,12,14
2005,148,909,40,1,0,1,129,33,14,9,3,32,0,0,0,1,6,7,8,9
2005,149,808,60,1,0,0,109,47,13,14,12,38,1,0,0,1,2,2,12,10
2005,150,700,40,1,0,0,81,26,12,13,13,31,1,0,1,0,5,6,8,4
2005,151,800,40,1,0,0,122,38,16,10,2,31,0,0,1,1,3,3,12,8
2005,152,908.25,27,1,0,1,92,33,12,13,3,31,1,0,0,1,3,2,16,12
2005,153,625,50,1,0,0,115,31,12,12,8,31,1,0,0,1,2,3,12,NA
2005,154,875,50,1,0,0,124,40,16,9,3,31,0,0,0,0,2,2,17,16
2005,155,533,45,1,0,0,109,31,15,8,2,30,1,0,0,1,2,2,15,12
2005,156,325,55,1,0,0,113,39,12,11,5,29,1,0,1,0,1,2,10,13
2005,157,495,40,1,0,0,88,30,12,6,10,31,1,0,1,1,2,1,NA,7
2005,158,0,0,0,0,1,102,38,16,10,1,29,1,0,0,1,3,1,12,12
2005,159,0,0,0,0,1,74,27,11,14,5,34,1,0,0,1,10,6,6,11
2005,160,697.5,40,1,0,1,126,44,14,10,1,31,0,0,0,1,3,NA,8,NA
2005,161,1081.5,40,1,0,1,110,40,13,13,13,29,1,1,1,1,1,2,7,9
2005,162,0,0,0,0,1,118,47,16,9,9,34,1,0,0,1,1,1,12,12
2005,163,1100,40,1,0,0,92,37,13,21,12,38,1,1,0,1,6,6,12,NA
2005,164,822.75,50,1,0,1,80,27,11,12,12,28,1,0,0,0,5,1,12,11
2005,165,870,40,1,0,1,74,18,12,14,1,33,1,1,1,1,9,6,3,4
2005,166,0,0,0,0,0,110,35,16,15,1,38,1,0,0,0,2,1,NA,NA
2005,167,0,0,0,0,0,94,33,12,20,4,37,1,0,0,0,1,1,12,7
2005,168,754,40,1,0,0,93,31,12,13,1,30,1,0,0,1,5,NA,NA,NA
2005,169,1346,50,1,0,0,128,46,16,10,1,33,0,0,0,0,3,1,10,9
2005,170,750,40,1,0,0,94,18,12,16,3,37,1,1,0,1,7,3,8,8
2005,171,1500,37,1,0,0,119,41,15,8,5,33,0,0,0,1,1,1,12,18
2005,172,770,48,1,0,0,91,39,12,13,2,38,1,0,0,1,1,2,10,8
2005,173,0,0,0,0,0,95,27,12,16,5,35,1,0,1,1,2,3,12,14
2005,174,300,40,1,0,1,90,36,10,12,1,32,1,1,0,1,5,3,8,NA
2005,175,830,44,1,0,0,105,29,14,4,7,29,1,0,0,1,3,1,12,NA
2005,176,562,40,1,0,0,99,25,12,18,12,34,0,0,0,0,1,1,12,12
2005,177,465,43,1,0,0,84,33,13,10,1,29,1,0,0,1,3,3,11,11
2005,178,1201.5,65,1,0,1,97,47,15,14,14,37,1,0,0,1,1,1,8,NA
2005,179,900,40,1,0,0,103,38,12,15,1,37,1,0,1,0,3,3,8,6
2005,180,390,40,1,0,1,126,23,16,8,1,30,1,0,0,1,7,5,12,12
2005,181,793.5,40,1,0,1,94,40,14,13,14,34,1,0,0,1,0,1,15,9
2005,182,1366,40,1,0,0,90,35,12,13,1,30,1,0,0,1,3,3,12,12
2005,183,1282,45,1,0,0,112,41,16,6,6,31,0,0,1,1,2,2,12,12
2005,184,666.75,36,1,0,1,116,37,12,12,11,28,1,0,1,1,1,2,9,12
2005,185,584.25,40,1,0,1,85,30,12,14,7,37,1,1,1,1,7,4,12,NA
2005,186,504,61,1,0,1,96,38,12,13,3,34,1,0,0,1,2,NA,12,13
2005,187,461.25,40,1,0,1,100,31,14,9,4,30,1,0,0,0,3,3,12,12
2005,188,735.75,40,1,0,1,122,41,14,9,15,35,0,0,0,1,3,2,12,NA
2005,189,1181.25,40,1,0,1,117,28,12,13,2,30,1,0,0,1,3,3,10,10
2005,190,0,0,0,0,1,132,37,13,8,2,33,1,0,0,0,2,1,13,16
2005,191,750,40,1,0,0,83,27,12,4,10,32,1,1,1,0,7,1,10,6
2005,192,1049,55,1,0,0,120,39,12,9,11,32,1,0,0,1,3,2,12,10
2005,193,654,45,1,0,1,115,30,15,7,4,29,1,0,0,1,3,1,12,18
2005,194,1212,40,1,0,0,98,26,12,11,12,28,0,0,0,1,4,NA,12,10
2005,195,600,50,1,0,1,110,35,14,8,5,28,1,0,0,1,3,4,12,10
2005,196,667.5,48,1,0,1,100,40,12,4,8,31,1,0,1,0,0,1,NA,NA
2005,197,519,50,1,0,1,95,21,12,16,9,34,1,0,1,1,2,2,7,5
2005,198,0,0,0,0,0,105,28,12,11,7,30,1,0,0,1,3,1,12,10
2005,199,863.25,45,1,0,1,90,38,12,19,19,36,1,0,0,1,1,1,12,8
2005,200,945.75,40,1,0,1,117,41,17,1,9,35,1,0,0,1,4,1,6,8
2005,201,721.5,50,1,0,1,97,34,16,7,2,30,1,0,1,1,0,1,12,12
2005,202,769.5,60,1,0,1,105,34,16,12,1,35,1,0,0,1,3,1,14,10
2005,203,1405.5,48,1,0,1,64,37,11,22,3,38,1,1,0,1,7,NA,NA,NA
2005,204,900,40,1,0,0,98,36,14,1,8,30,1,1,1,0,7,2,10,6
2005,205,1259.25,55,1,0,1,127,45,18,10,3,32,1,0,1,1,1,2,12,16
2005,206,824,42,1,0,0,92,37,12,19,15,38,1,0,0,1,1,1,12,11
2005,207,1082,55,1,0,0,95,40,12,11,4,29,1,1,0,1,2,2,11,NA
2005,208,750,43,1,0,1,69,31,12,15,16,35,1,0,0,1,4,4,12,8
2005,209,901.5,40,1,0,1,125,30,14,10,11,29,1,0,0,1,2,3,12,12
2005,210,1127,40,1,0,0,98,45,12,17,12,36,1,0,1,1,1,2,14,12
2005,211,770.25,27,1,0,1,100,40,13,12,15,38,1,0,0,1,3,3,10,9
2005,212,630.75,40,1,0,1,109,45,18,13,2,36,1,0,0,0,3,4,16,12
2005,213,762,58,1,0,0,104,37,15,6,4,33,1,0,0,0,2,1,11,12
2005,214,673,40,1,0,0,91,29,12,7,11,38,1,0,0,0,0,1,6,NA
2005,215,421.5,80,1,0,1,104,30,12,11,5,28,1,0,1,0,1,NA,12,12
2005,216,1250,40,1,0,0,125,27,16,9,10,30,1,0,0,1,3,1,16,NA
2005,217,901.5,48,1,0,1,114,28,16,6,6,28,1,0,0,1,3,3,16,16
2005,218,952.5,40,1,0,1,84,40,12,11,12,30,1,0,0,1,2,2,12,12
2005,219,1225.5,40,1,0,1,95,48,12,18,3,38,1,0,1,1,3,3,NA,3
2005,220,502.5,40,1,0,1,93,27,13,9,5,29,1,0,0,1,2,NA,12,12
2005,221,0,0,0,0,1,119,37,13,9,2,30,1,0,0,0,4,1,14,NA
2005,222,917.25,40,1,0,1,107,34,12,7,3,28,1,0,0,0,1,1,12,10
2005,223,431.25,40,1,0,1,86,20,10,12,6,33,1,1,1,1,8,NA,NA,NA
2005,224,750,44,1,0,1,113,41,17,8,2,34,1,0,1,1,4,1,17,18
2005,225,890,60,1,0,0,92,20,14,9,8,32,1,0,0,1,1,2,7,7
2005,226,723,40,1,0,0,102,44,12,12,10,30,1,0,0,1,10,6,12,6
2005,227,770.25,45,1,0,1,115,41,12,16,7,35,1,0,0,1,4,3,8,5
2005,228,563.25,40,1,0,1,96,42,12,9,7,38,1,0,0,0,1,1,10,8
2005,229,620,40,1,0,0,99,22,11,10,5,29,1,1,0,1,11,5,NA,NA
2005,230,794,40,1,0,0,114,36,16,9,7,29,1,0,0,1,1,2,11,9
2005,231,900,40,1,0,0,119,39,16,8,9,30,1,0,0,0,1,2,12,12
2005,232,0,0,0,0,0,106,38,15,8,0,32,1,0,0,1,2,1,12,12
2005,233,567.75,40,1,0,1,113,35,16,10,9,33,1,0,0,1,2,1,12,12
2005,234,375,60,1,0,0,75,24,12,12,5,30,0,0,0,0,4,1,12,8
2005,235,0,0,0,0,1,104,36,12,15,11,33,1,0,0,0,0,1,12,12
2005,236,1779,40,1,0,0,132,42,17,8,9,32,1,0,0,1,1,1,17,14
2005,237,705,50,1,0,0,100,44,12,15,12,36,1,0,1,1,1,2,NA,NA
2005,238,833,48,1,0,0,96,37,16,9,7,31,1,0,0,1,4,4,12,14
2005,239,1122,48,1,0,0,111,44,15,12,9,31,1,0,0,1,3,1,9,12
2005,240,533.25,45,1,0,1,100,38,18,13,3,36,1,0,0,1,1,NA,10,16
2005,241,543,45,1,0,0,90,31,14,5,7,38,1,1,1,1,1,2,6,NA
2005,242,797.25,40,1,0,1,90,38,12,14,12,32,1,1,0,1,2,2,8,12
2005,243,650,40,1,0,0,100,18,12,4,3,28,1,0,0,1,6,2,9,11
2005,244,825,50,1,0,1,117,51,16,11,12,32,1,0,0,0,0,1,12,10
2005,245,499.5,70,1,0,1,117,34,15,8,2,32,1,0,0,1,0,1,NA,NA
2005,246,549,49,1,0,0,79,23,12,11,3,32,0,0,0,0,4,2,8,8
2005,247,664,60,1,0,0,82,30,16,10,9,34,1,1,1,1,3,4,16,16
2005,248,463.5,40,1,0,1,84,39,14,6,8,31,0,0,1,1,7,8,7,4
2005,249,1202,40,1,0,0,101,40,15,15,17,37,1,0,0,1,3,2,12,12
2005,250,950,55,1,0,0,85,30,15,8,3,29,0,0,0,1,2,NA,12,12
2005,251,693,53,1,0,0,101,29,12,7,6,28,1,0,0,0,1,2,12,12
2005,252,865.5,40,1,0,1,98,35,14,18,2,37,1,0,0,1,1,NA,10,14
2005,253,562.5,40,1,0,1,106,32,14,9,9,29,1,0,0,1,1,2,11,10
2005,254,375,55,1,0,1,86,22,12,11,9,29,1,0,0,0,5,5,10,12
2005,255,1311.75,43,1,0,1,101,28,12,16,17,36,1,0,0,0,2,2,12,8
2005,256,562,55,1,0,0,90,46,13,4,1,38,1,0,1,0,1,1,12,11
2005,257,1039,40,1,0,0,114,43,16,1,9,31,0,0,1,1,6,5,8,8
2005,258,0,0,0,0,1,109,49,17,13,4,38,1,0,0,0,3,3,12,8
2005,259,0,0,0,0,0,89,40,12,17,8,38,1,0,1,1,7,7,1,4
2005,260,567,40,1,0,1,78,29,14,9,2,31,1,0,0,1,2,2,12,12
2005,261,461.25,50,1,0,1,99,49,15,16,15,38,1,0,0,0,2,3,12,14
2005,262,855,40,1,0,0,109,36,12,17,15,36,1,0,0,0,3,1,7,6
2005,263,611.25,40,1,0,1,114,25,12,15,14,31,1,0,0,0,2,1,12,10
2005,264,346,40,1,0,0,110,37,12,16,17,38,1,0,1,1,2,NA,12,5
2005,265,1154,50,1,0,0,109,46,16,10,3,35,1,0,1,1,2,1,16,14
2005,266,545.25,55,1,0,1,97,29,12,11,11,31,1,0,0,0,3,1,12,11
2005,267,1154,40,1,0,0,109,42,16,12,9,34,1,0,0,1,0,1,13,16
2005,268,780,40,1,0,1,115,49,15,8,15,35,1,0,0,1,3,4,NA,11
2005,269,534.75,40,1,0,1,75,25,12,5,12,36,1,1,1,1,7,4,NA,NA
2005,270,962,40,1,0,0,120,39,16,8,9,32,1,0,0,0,0,1,18,NA
2005,271,667.5,70,1,0,1,73,46,12,6,8,31,1,0,0,1,3,1,12,12
2005,272,640,23,1,0,0,96,39,12,7,3,31,0,1,1,1,5,NA,NA,NA
2005,273,757.5,40,1,0,1,97,42,18,7,14,34,1,0,0,1,4,5,14,NA
2005,274,720.75,40,1,0,1,76,17,12,13,13,31,0,1,0,1,13,5,NA,8
2005,275,1126,40,1,0,0,116,33,12,5,0,31,1,1,0,1,9,5,9,10
2005,276,525,40,1,0,0,106,31,12,12,13,30,1,0,0,0,1,1,10,12
2005,277,483.75,45,1,0,1,93,39,12,11,3,35,1,0,1,0,7,7,7,8
2005,278,601,48,1,0,0,111,30,12,15,3,33,1,0,0,1,0,1,12,12
2005,279,0,0,0,0,1,130,29,13,14,1,38,1,0,0,1,1,2,11,14
2005,280,0,0,0,0,1,98,41,18,10,7,31,1,0,1,1,2,2,8,12
2005,281,366.75,55,1,0,1,104,47,13,20,4,38,1,0,1,1,2,2,NA,NA
2005,282,802.5,40,1,0,1,91,42,12,13,1,30,1,0,0,1,1,2,14,12
2005,283,2099,55,1,0,0,119,38,16,10,4,32,1,0,0,1,0,1,12,12
2005,284,684.75,40,1,0,1,101,33,16,5,7,31,1,0,0,1,2,3,12,NA
2005,285,0,0,0,0,1,101,43,12,18,2,37,1,0,0,1,1,2,NA,NA
2005,286,0,0,0,0,0,92,37,12,19,15,38,1,0,0,1,1,1,12,11
2005,287,913,40,1,0,0,110,26,14,4,13,29,1,0,0,1,3,4,9,NA
2005,288,675,40,1,0,1,86,28,12,17,15,37,1,0,0,1,5,3,8,10
2005,289,740.25,40,1,0,1,96,23,12,11,5,29,1,0,1,0,1,2,12,12
2005,290,1076,38,1,0,0,106,42,12,19,20,36,1,0,1,1,1,1,12,9
2005,291,650,40,1,0,0,97,27,10,14,9,30,1,0,1,0,5,1,12,9
2005,292,2668,75,1,0,0,108,41,13,12,2,32,1,0,1,1,1,2,12,12
2005,293,984.75,40,1,0,1,107,37,12,11,7,28,1,0,0,0,1,NA,12,NA
2005,294,722,55,1,0,0,113,36,16,8,1,38,0,0,1,1,1,2,8,NA
2005,295,780,40,1,0,1,101,38,12,19,9,38,1,1,1,1,6,1,11,12
2005,296,769,55,1,0,0,105,45,18,7,15,38,0,0,0,1,2,3,9,5
2005,297,562.5,40,1,0,1,104,36,12,15,11,33,1,0,0,0,0,1,12,12
2005,298,0,0,0,0,1,115,56,18,10,5,36,1,0,0,1,1,1,12,12
2005,299,1186,30,1,0,0,91,41,17,8,9,33,1,0,0,1,1,1,12,14
2005,300,0,0,0,0,1,102,35,13,8,2,30,1,0,1,0,0,1,12,12
2005,301,600,45,1,0,1,110,36,12,19,12,36,1,0,0,1,7,8,NA,NA
2005,302,618.75,40,1,0,1,108,46,14,11,9,33,1,0,0,1,1,2,14,14
2005,303,1443,45,1,0,1,112,40,16,17,18,38,1,0,0,1,1,1,12,12
2005,304,703.5,44,1,0,1,108,41,12,19,20,38,1,0,0,1,0,1,8,NA
2005,305,0,0,0,0,0,99,33,16,9,8,30,1,0,0,1,2,NA,11,12
2005,306,1000,40,1,0,0,101,36,12,16,1,35,1,0,1,1,1,1,12,NA
2005,307,525,50,1,0,1,130,29,13,14,1,38,1,0,0,1,1,2,11,14
2005,308,825,37,1,0,1,100,32,12,14,1,30,1,0,0,1,1,2,7,7
2005,309,1232.25,48,1,0,1,117,48,18,8,2,33,1,0,0,1,2,2,12,18
2005,310,0,0,0,0,1,105,37,16,9,2,29,1,0,0,1,1,2,13,12
2005,311,1065,40,1,0,0,97,40,12,21,10,36,1,0,1,1,1,1,12,NA
2005,312,1443,50,1,0,1,121,40,18,11,7,35,1,0,0,1,3,1,16,18
2005,313,671.25,40,1,0,1,86,39,9,17,16,38,1,1,0,0,2,NA,NA,12
